DateTime;Ticker;Accion
2022-07-28 12:30;ETHUSDT;STRONG BUY;
2022-07-28 13:00;ETHUSDT;STRONG BUY;
2022-07-28 13:30;ETHUSDT;STRONG BUY;
2022-07-28 14:00;ETHUSDT;BUY;
2022-07-28 14:30;ETHUSDT;BUY;
2022-07-28 15:00;ETHUSDT;BUY;
2022-07-28 15:30;ETHUSDT;BUY;
2022-07-28 16:00;ETHUSDT;BUY;
2022-07-28 16:30;ETHUSDT;BUY;
2022-07-28 17:00;ETHUSDT;BUY;
2022-07-28 17:15;ETHUSDT;BUY;
2022-07-28 17:30;ETHUSDT;BUY;
2022-07-28 17:45;ETHUSDT;BUY;
2022-07-28 18:00;ETHUSDT;BUY;
2022-07-28 18:15;ETHUSDT;BUY;
2022-07-28 18:30;ETHUSDT;BUY;
2022-07-28 18:45;ETHUSDT;BUY;
2022-07-28 19:00;ETHUSDT;BUY;
2022-07-28 19:15;ETHUSDT;BUY;
2022-07-28 19:30;ETHUSDT;BUY;
2022-07-28 19:45;ETHUSDT;BUY;
2022-07-28 20:00;ETHUSDT;BUY;
2022-07-28 20:15;ETHUSDT;BUY;
2022-07-28 20:30;ETHUSDT;BUY;
